outcome,bin_lo,bin_hi,n,mean_predicted,observed_rate,source,track,model
H,0.0,0.1,44,0.08253608905927355,0.09090909090909091,model,market_aware,lightgbm
H,0.1,0.2,436,0.16320545432244987,0.17660550458715596,model,market_aware,lightgbm
H,0.2,0.30000000000000004,1189,0.253396317053593,0.216148023549201,model,market_aware,lightgbm
H,0.30000000000000004,0.4,1873,0.35296682370502364,0.3075280298985585,model,market_aware,lightgbm
H,0.4,0.5,2261,0.4496825975169966,0.4374170720919947,model,market_aware,lightgbm
H,0.5,0.6000000000000001,1902,0.5459831526348855,0.5672975814931651,model,market_aware,lightgbm
H,0.6000000000000001,0.7000000000000001,979,0.6409015941027479,0.6905005107252298,model,market_aware,lightgbm
H,0.7000000000000001,0.8,137,0.7272154098092054,0.7591240875912408,model,market_aware,lightgbm
H,0.8,0.9,3,0.8150999344734329,1.0,model,market_aware,lightgbm
D,0.1,0.2,775,0.1844819633719351,0.20258064516129032,model,market_aware,lightgbm
D,0.2,0.30000000000000004,6764,0.24928996992901475,0.25428740390301596,model,market_aware,lightgbm
D,0.30000000000000004,0.4,1250,0.3262220507742079,0.284,model,market_aware,lightgbm
D,0.4,0.5,35,0.4228414392896471,0.2857142857142857,model,market_aware,lightgbm
A,0.0,0.1,393,0.07380803202011275,0.08396946564885496,model,market_aware,lightgbm
A,0.1,0.2,1657,0.15561715436124665,0.16173808086904043,model,market_aware,lightgbm
A,0.2,0.30000000000000004,2312,0.25001957549822246,0.2296712802768166,model,market_aware,lightgbm
A,0.30000000000000004,0.4,2143,0.3478610654163784,0.353243117125525,model,market_aware,lightgbm
A,0.4,0.5,1397,0.4451720958863257,0.46886184681460275,model,market_aware,lightgbm
A,0.5,0.6000000000000001,724,0.541497168845503,0.5953038674033149,model,market_aware,lightgbm
A,0.6000000000000001,0.7000000000000001,189,0.6324295526302892,0.7037037037037037,model,market_aware,lightgbm
A,0.7000000000000001,0.8,9,0.7227580610079148,1.0,model,market_aware,lightgbm
H,0.0,0.1,157,0.0786259111656077,0.07643312101910828,market,market_aware,lightgbm
H,0.1,0.2,843,0.1572702098241628,0.13997627520759193,market,market_aware,lightgbm
H,0.2,0.30000000000000004,1336,0.25398829605904644,0.22080838323353294,market,market_aware,lightgbm
H,0.30000000000000004,0.4,1635,0.35036784710620505,0.3321100917431193,market,market_aware,lightgbm
H,0.4,0.5,1629,0.44779421096180205,0.4358502148557397,market,market_aware,lightgbm
H,0.5,0.6000000000000001,1345,0.5491517274711863,0.5509293680297398,market,market_aware,lightgbm
H,0.6000000000000001,0.7000000000000001,926,0.6482330037179397,0.6695464362850972,market,market_aware,lightgbm
H,0.7000000000000001,0.8,637,0.7436054839375398,0.7346938775510204,market,market_aware,lightgbm
H,0.8,0.9,297,0.839551487189047,0.8148148148148148,market,market_aware,lightgbm
H,0.9,1.0,19,0.9123911098482692,0.8421052631578947,market,market_aware,lightgbm
