trial,mean_wf_log_loss,depth,learning_rate,iterations,l2_leaf_reg,subsample
21,0.9894338907777795,4,0.022606700508589844,160,7.501234155368053,0.7847508921005549
4,0.9896558514314228,2,0.018934415854584545,400,8.44868054793324,0.8526657596488258
12,0.9905303312967032,3,0.02956534770530337,457,2.799173822275975,0.6029449079004022
24,0.9915295175745997,6,0.02227098870425414,313,2.062053119084638,0.9847590658198058
0,0.9935843946796583,2,0.07144298156528732,499,8.727381279202442,0.8789472116237456
17,0.9940757358759399,6,0.07114043449253073,163,2.931262055375763,0.7634114574898545
8,0.9942081026616749,4,0.06186435884488164,296,5.226002301482271,0.6757885436337143
2,0.9944400056251401,5,0.0730540313053794,207,4.337182218093231,0.9707059955394407
5,0.994654463099738,3,0.059633635538181566,491,9.736282219554129,0.957248448528879
9,0.9953441052745946,5,0.07659868967163071,208,3.042184141457957,0.867925597873004
1,0.9956797695342943,3,0.14658712922914582,192,7.850257317913177,0.9144257221107815
6,0.9958758730302464,6,0.037249419099275455,501,5.200489033543308,0.6175215063148914
7,0.9975058495052711,5,0.10562685345394364,219,7.702859403170354,0.987003892973684
23,0.9976768643275677,5,0.06334297165350754,351,3.7136088023308886,0.8521130372475554
15,1.0004465475073199,5,0.07595346886003854,451,6.087124958330699,0.9059995429664103
22,1.0011285621690278,7,0.08014626851447089,222,2.3708089244185158,0.8785281500310944
20,1.0017727192478048,8,0.06689416060160987,449,8.326183461994312,0.6667891679630815
18,1.0018972865947484,8,0.042751528021147706,534,1.5247246752015942,0.7125535568087986
14,1.0030849445503616,5,0.08962376743340511,356,2.258172983148917,0.6458120294143893
16,1.0049320569233042,6,0.0875011160921194,436,6.032864446708722,0.7215800392250449
19,1.0049583087513683,8,0.1026683120617653,282,6.013289371071505,0.9135592836425654
13,1.0081175263979356,7,0.10307911992288449,504,7.346488407637016,0.9122916124087872
10,1.0096336250891085,8,0.12657494744809722,347,7.302385918020242,0.7249466565528164
3,1.0118975316333123,7,0.12518662585791618,440,4.99072778944598,0.6908954887139107
11,1.0122976490646867,7,0.12266701004955224,525,4.487305411271571,0.7153312415720976
